Analysis id 1020	Biotype 1020	Stable id 1023
2	protein_coding	OTTHUMG00000133594
2	unprocessed_pseudogene	OTTHUMG00000133635
2	protein_coding	OTTHUMG00000133582
2	protein_coding	OTTHUMG00000133580
2	protein_coding	OTTHUMG00000133590
2	protein_coding	OTTHUMG00000133584
2	protein_coding	OTTHUMG00000133586
2	protein_coding	OTTHUMG00000133632
2	protein_coding	OTTHUMG00000133634
2	protein_coding	OTTHUMG00000133638
2	protein_coding	OTTHUMG00000133428
2	protein_coding	OTTHUMG00000133639
2	protein_coding	OTTHUMG00000133437
2	protein_coding	OTTHUMG00000132081
2	unprocessed_pseudogene	OTTHUMG00000133664
2	protein_coding	OTTHUMG00000133636
2	unprocessed_pseudogene	OTTHUMG00000133633
2	protein_coding	OTTHUMG00000133609
2	protein_coding	OTTHUMG00000133427
2	protein_coding	OTTHUMG00000133604
2	protein_coding	OTTHUMG00000133438
2	protein_coding	OTTHUMG00000133602
2	protein_coding	OTTHUMG00000133600
2	unprocessed_pseudogene	OTTHUMG00000133608
2	protein_coding	OTTHUMG00000133605
2	unprocessed_pseudogene	OTTHUMG00000133663
2	protein_coding	OTTHUMG00000133662
2	protein_coding	OTTHUMG00000133640
2	protein_coding	OTTHUMG00000133433
2	unprocessed_pseudogene	OTTHUMG00000133669
2	unprocessed_pseudogene	OTTHUMG00000133668
2	protein_coding	OTTHUMG00000133432
2	protein_coding	OTTHUMG00000133429
2	protein_coding	OTTHUMG00000133436
2	protein_coding	OTTHUMG00000133423
2	processed_transcript	OTTHUMG00000133598
2	unprocessed_pseudogene	OTTHUMG00000133601
2	protein_coding	OTTHUMG00000133606
2	protein_coding	OTTHUMG00000133439
2	unprocessed_pseudogene	OTTHUMG00000133683
2	protein_coding	OTTHUMG00000133430
2	protein_coding	OTTHUMG00000133425
2	protein_coding	OTTHUMG00000133431
2	protein_coding	OTTHUMG00000133434
2	processed_transcript	OTTHUMG00000133684
2	protein_coding	OTTHUMG00000133435
2	protein_coding	OTTHUMG00000133422
2	processed_transcript	OTTHUMG00000133607
2	protein_coding	OTTHUMG00000133599
2	protein_coding	OTTHUMG00000133426
2	protein_coding	OTTHUMG00000133495
2	protein_coding	OTTHUMG00000133505
2	transcribed_unprocessed_pseudogene	OTTHUMG00000152412
2	protein_coding	OTTHUMG00000133492
2	protein_coding	OTTHUMG00000133496
2	protein_coding	OTTHUMG00000133498
2	protein_coding	OTTHUMG00000133494
2	protein_coding	OTTHUMG00000133501
2	protein_coding	OTTHUMG00000133497
2	protein_coding	OTTHUMG00000133499
2	protein_coding	OTTHUMG00000152510
2	protein_coding	OTTHUMG00000133506
2	protein_coding	OTTHUMG00000133507
2	protein_coding	OTTHUMG00000133502
2	protein_coding	OTTHUMG00000133503
2	protein_coding	OTTHUMG00000132073
2	protein_coding	OTTHUMG00000133493
2	protein_coding	OTTHUMG00000133504
2	protein_coding	OTTHUMG00000133500
2	protein_coding	OTTHUMG00000150724
2	processed_transcript	OTTHUMG00000132657
2	protein_coding	OTTHUMG00000150725
2	protein_coding	OTTHUMG00000150645
2	protein_coding	OTTHUMG00000132301
2	processed_pseudogene	OTTHUMG00000157847
2	processed_transcript	OTTHUMG00000132654
2	protein_coding	OTTHUMG00000153515
2	protein_coding	OTTHUMG00000157426
2	processed_pseudogene	OTTHUMG00000157434
2	protein_coding	OTTHUMG00000140395
2	processed_transcript	OTTHUMG00000132641
2	processed_pseudogene	OTTHUMG00000132639
2	protein_coding	OTTHUMG00000133838
2	protein_coding	OTTHUMG00000133840
2	protein_coding	OTTHUMG00000156843
2	processed_transcript	OTTHUMG00000132629
2	protein_coding	OTTHUMG00000132628
2	processed_transcript	OTTHUMG00000132630
2	protein_coding	OTTHUMG00000132421
2	protein_coding	OTTHUMG00000153039
2	processed_pseudogene	OTTHUMG00000157853
2	protein_coding	OTTHUMG00000154264
2	protein_coding	OTTHUMG00000154266
2	processed_transcript	OTTHUMG00000154265
2	protein_coding	OTTHUMG00000162944
2	processed_transcript	OTTHUMG00000132571
2	processed_transcript	OTTHUMG00000132557
2	unitary_pseudogene	OTTHUMG00000132441
2	processed_transcript	OTTHUMG00000132554
2	processed_pseudogene	OTTHUMG00000132555
2	processed_transcript	OTTHUMG00000132123
2	unprocessed_pseudogene	OTTHUMG00000132521
2	protein_coding	OTTHUMG00000149841
2	protein_coding	OTTHUMG00000132817
2	processed_transcript	OTTHUMG00000132549
2	protein_coding	OTTHUMG00000134315
2	processed_pseudogene	OTTHUMG00000157855
2	processed_pseudogene	OTTHUMG00000157875
2	protein_coding	OTTHUMG00000164767
2	processed_transcript	OTTHUMG00000164768
2	protein_coding	OTTHUMG00000036957
2	protein_coding	OTTHUMG00000156302
2	protein_coding	OTTHUMG00000132067
2	protein_coding	OTTHUMG00000150196
2	processed_transcript	OTTHUMG00000132519
2	protein_coding	OTTHUMG00000150417
2	processed_transcript	OTTHUMG00000132087
2	protein_coding	OTTHUMG00000159929
2	protein_coding	OTTHUMG00000159930
2	processed_transcript	OTTHUMG00000132491
2	protein_coding	OTTHUMG00000159922
2	processed_transcript	OTTHUMG00000159919
2	processed_transcript	OTTHUMG00000159921
2	protein_coding	OTTHUMG00000159920
2	protein_coding	OTTHUMG00000159913
2	protein_coding	OTTHUMG00000159912
2	protein_coding	OTTHUMG00000159906
2	protein_coding	OTTHUMG00000159904
2	protein_coding	OTTHUMG00000159907
2	processed_transcript	OTTHUMG00000159902
2	processed_transcript	OTTHUMG00000132071
2	processed_pseudogene	OTTHUMG00000157877
2	processed_pseudogene	OTTHUMG00000157876
2	processed_transcript	OTTHUMG00000159905
2	processed_pseudogene	OTTHUMG00000159901
2	protein_coding	OTTHUMG00000159899
2	processed_transcript	OTTHUMG00000132085
2	protein_coding	OTTHUMG00000159900
2	processed_transcript	OTTHUMG00000159903
2	protein_coding	OTTHUMG00000156978
2	processed_transcript	OTTHUMG00000160506
2	protein_coding	OTTHUMG00000160505
2	transcribed_unprocessed_pseudogene	OTTHUMG00000160509
2	processed_pseudogene	OTTHUMG00000160510
2	protein_coding	OTTHUMG00000160520
2	protein_coding	OTTHUMG00000150521
2	protein_coding	OTTHUMG00000160569
2	processed_transcript	OTTHUMG00000132443
2	protein_coding	OTTHUMG00000161171
2	processed_transcript	OTTHUMG00000161174
2	protein_coding	OTTHUMG00000161173
2	processed_transcript	OTTHUMG00000161175
2	processed_pseudogene	OTTHUMG00000161237
2	processed_pseudogene	OTTHUMG00000161236
2	protein_coding	OTTHUMG00000161307
2	processed_pseudogene	OTTHUMG00000157878
2	protein_coding	OTTHUMG00000161308
2	protein_coding	OTTHUMG00000161306
2	protein_coding	OTTHUMG00000161305
2	processed_transcript	OTTHUMG00000161323
2	protein_coding	OTTHUMG00000161322
